Δαρείου	OF DARIUS
τῆς	passage
παρόδου	(that)
Κῦρος	Cyrus
μετεπέμψατο	sent-for
τὰς	the
ναῦς,	fleet,
ὅπως	so-that
ἀποβιβάσειεν	he-might-land
ὁπλίτας	heavy-armed-men
εἴσω	within
καὶ	and
ἔξω	without
τῶν	the
πυλῶν,	passes,
καὶ	and
βιασάμενοι	(who) having-forced (a passage)
παρέλθοιεν	might-pass-through
τοὺς	the
πολεμίους,	enemy,
εἰ	if
φυλάττοιεν	they-'might (yet)
ἐπὶ	'guard
ταῖς	the
Συρίαις	Syrian
πύλαις	passes
ὅπερ	which
ὁ	Cyrus
Κῦρος	thought
ὤετο	would-be-done,
ποιήσειν,	Abrocomas
τὸν	having
᾿Αβροκόμαν	(a)
ἔχοντα	great
πολὺ	army.
στράτευμα.	But
Δ'	Abrocomas
᾿Αβροκόμας	did
οὐκ	not
ἐποίησε	'do
τοῦτ᾽,	this,
ἀλλ᾽	but
ἐπεὶ	after
ἤκουσε	he-heard
Κύρον	(of) Cyrus
ὀντα	being
ἐν	in
Κιλικίᾳ	Cilicia
ἀναστρέψας	kaving-retired
ἐκ	from
Φοινίκης	Phoenicia
ἀπήλαυνε	ne-departed
παρά	to
βασιλέα	(the) king
ἔχων	having
ὡς	as
ἐλέγετο	it-was-said
τριάκοντα	| thirty
μυριάδας	ten-thousands [three hundred thousand)
στρατιᾶς.	military.
Ἐντεῦθεν	Hence
ἐξελαύνει	(Cyrus) proceeds
διὰ	through
Συρίας	Syria
ἕνα	one
σταθμὸν	days'-march,
πέντε	(making) five
παρασάγγας,	parasangs,
εἰς	to
Μυρίανδρον,	Myriandrus,
πόλιν	(a) town
ἐπὶ	on
τῇ	the
θαλλάττῃ	sea (Mast)
οἰκουμένην	peopled
ὑπὸ	by
Φοινίκων.	Phœnicians.
Ηἤ	It-was
δ᾽	also
ἐμπόριον	(a) mart
τοῦ	(for that district of) the
χωρίον,	country,
καὶ	and
πολλαί	many
ὁλκάδες	ships-of-burden
ὥρμουν	arrived
αὐτόθι.	there.
Ἐνταῦθ	, Here
ἔμειναν	he-remained
ἑπτὰ	seven
ἡμέρας·	days;
καὶ	and
Ξενίας,	(here) Xenias,
ὁ	the
᾿Αρκάς	Arcadian
στρατηγός,	commander,
καὶ	and
Πασίων	Pasion
ὁ	the
Μεγαρεύς,	Megarian,
ἐμβάντες	having-embarked
εἰς	in
πλοῖον,	(a) vessel,
καὶ	and
ἐνθέμενοι	having-placed-on-board
τὰ	(their)
ἄξια	effects
πλείστου,	of-the-greatest (value),
ἀπέπλευσαν,	they-sailed-away,
ὡς	as
μὲν	indeed
τοῖς	to-the
πλείστοις	most
ἐδόκουν	they-thought
φιλοτιμηθέντες	having-been-made-jealous-of-their-honour [the most thought, that they were influenced by jealousy]
ὅτι	because
Κῦρος	Cyrus
εἰα	allowed
τὸν	Clearchus
Κλεαρχον	to-have
ἔχειν	| the
τοὺς	soldiers
στρατιώτας	of-them,
αὐτῶν,	[their soldiers),
τοὺς	(namely) (those)
ἀπελθόντας	deserting
παρὰ	to
Κλέαρχον,	Clearchus,
ὡς	[when they intended
ἀπιόντας	ta depart
πάλιν	back
εἰς	to
τὴν	Greece]
Ἑλλάδα	and
καὶ	not
οὐ	(march)
πρὸς	against
βασιλέα.	(the) king.
Ἐπεὶ	| After
δ᾽	they-were
ἦσαν	invisible
ἀφανεῖς	[after their disappearance]
λόγος	(a) rumow
διήλθε	went-through (the army)
ὅτι	that
Κῦρος	Cyrus
διώκοι	might-follow
αὐτοὺς	them
τριήρεσι·	'with (the) 'galleys;
καὶ	and
οἱ	-
μὲν	(some) indeed
εἴχοντο	prayed
αὐτοὺς	(that) they
ληφθῆναι	(might) be-taken
ὡς	as
ὄντας	being
δολίους,	perfidious (men),
οἱ	(others)
δ'	indeed
ᾤκτειρον	pitied (them)
εἰ	if
ἀλώσοιντο.	they-should-be-captured.
Δὲ	But
Κῦρος	Cyrus
συγκαλέσας	having-called-together
τοὺς	the
στρατηγοὺς	commanders
εἶπε·	said;
Ξενίας	Xenias
καὶ	and
Πασίωι	Pasion
ἀπολελοίπασιν	have-left
ἡμᾶς·	us;
ἀλλὰ	but
εὐ	well
μέντοι	indeed
ἐπιστάσθωσαν,	'let-them at least 'be 'assured,
ὅτι	that
οὔτε	they-'have neither
ἀποδεδράκασι,	'fled-away (clandestinely),
γὰρ	for
οἶδα	I-know
ὅπη	where
οἶχονται,	they-are-going,
οὔτε	nor
ἀποπεφεύγασι,	have-they-escaped,
γὰρ	for
ἔχω	I-have
τριήρεις	galleys
ὥστε	| in-order-to
ἑλεῖν	have-seized
τὸ	the
πλοῖον	ship
ἐκείνων.	of-them [to capture their ship].
᾿Αλλά,	But,
μα	by
τοὺς	the
θεοὺς	gods
οὐκ	not
ἔγωγε	even-I
διώξω	will-follow
αὐτοὺς·	them;
οὐδ᾽	nor (shall)
οὐδείς	any-one
ἐρεῖ,	say,
ὡς	that
ἐγώ	I,
ἕως	as-long-as
μὲν	indeed
τις	any-one
ἂν	might
παρῇ	stay-with (me),
χρώμαι,	make-use (of their services),
δ᾽	but
ἐπειδὰν	after
βούληται	he-may-wish
ἀπιέναι	to-leave (me)
συλλαβὼν	having-seized
αὐτοὺς	them
καὶ	'I both
κακῶς	ill
ποιῶ	'treat (them)
καὶ	and
ἀποσυλῶ	despoil (them of their)
τὰ	goods.
χρήματα.	But
᾿Αλλὰ	let-them-go,
ἰόντων,	they-having-known
εἰδότες	[they being conscious]
ὅτι	that
εἰσὶ	they-are
κακίους	worse
περὶ	towards
ἡμᾶς	us
ἢ	than
ἡμεῖς	we
περὶ	to wards
ἐκείνους.	them.
Καίτοι	Although
γε	'I indeed
ἔχω	have
καὶ	both
τέκηα	(the) children
καὶ	and
γυναῖκας	wives
αὐτῶν	of-them
φρουρούμενα	guarded
ἐν	at
Τράλλεσι·	Tralles;
ἀλλ'	but
οὐδὲ	they-'shall not-even
στερήσονται	be-deprived
τούτων,	of-these,
ἀλλ᾽	but
ἀπολήψονται	they-shall-receive (them)
ἕνεκα	on-account-of
τῆς	(their)
ἀρετῆς	good-conduct
περὶ	towards
ἐμὲ	me
πρόσθεν.	formerly.
Καὶ	And
ὁ	| 'he
μὲν	indeed
εἶπε	'said
ταῦτα·	these; [thus did he speak];
δὲ	and
οἱ	the
Ἕλληνες,	Greeks,
εἴ	if
τις	any (one)
καὶ	in-fine
ἦν	was
ἀθυμότερος	disinclined
πρὸς	towards
τὴν	the
ἀνάβασιν	ascent [expedition]
ἀκούοντες	hearing
τὴν	the
ἀρετὴν	noble-conduct
Κύρου,	of-Cyrus,
συνεπορεύοντο	accompanied (him)
ἥδιον	with-great-pleasure
καὶ	and
προθυμότερον.	with-greater-alacrity-of-mind.
Μετά	After
ταύτα	these (things)
Κῦρος	Cyrus
ἐξελαύνει	proceeds
τέτταρας	four
σταθμούς	days'-march
εἰκοσιν	(making) twenty
παρασάγγας	parasangs
ἐπὶ	to
τὸν	the
ποταμόν	river
Χάλον,	Chalus,
ὄντα	(it) being
τὸ	the
εὔρος	breadth
πλέθρου,	of (a) 'plethrum,
δὲ	and
πλήρη	full
μεγάλων	of-large
καὶ	and
τραέων	tame
ἰχδίων,	fish,
οὓς	which
οἱ	the
Σύροι	Syrians
ἐνόμιζον	considered
θεοὺς,	(to be) gods,
καὶ	and
οὐκ	'did not
εἴων	'permit (any one)
ἀδικεῖν	to-injure
οὐδὲ	(neither them) nor
τὰς	the
περιστεράς.	pigeons.
Αἱ	The
δὲ	-
κῶμαι	villages
ἐν	in
αἷς	which
ἐσκήνουν	they-encamped
ἦσαν	| were
Παρυσάτιδος	of-Parysatis [belonged to Parysatis]
δεδομέναι	having-been-given (her)
εἰς	| for
ζώνην.	(her) girdle [for pin-money]
Ἐντεῦθεν	Thance
ἐξελαύνει	he-proceeds
πέντε	five
σταθμούς	days'-march,
τριάκοντα	(making) thirty
παρασάγγας	parasangs
ἐπὶ	to
τὰς	| the
πηγὰς	springs [sources]
τοῦ	of-the
ποταμοῦ	river
Δάρδητος	Dardes
τὸ	the
εὔρος	breath
οὗ	of which
πλέθρου.	(is that) 'of (a) plethrum
Ἐνταῦθα	Here
ἦσαν	were
τὰ	the
βασίλεια	palaces
Βελέσυος	of-Belesys
τοῦ	| the
ἄρξαντος	having-ruled-over [the ruler]
Συρίας,	of-Syria,
καὶ	and
παράδεισος,	(a) park,
πάνυ	very
μέγας	large
καὶ	and
καλός,	beautiful,
ἔχων	having
πάντα	all,
ὅσα	how-much-so-ever
αἱ	(the)
ὧραι	seasons
φύουσι.	produce.
Δὲ	But
Κῦρος	Cyrus
αὐτὸν	'cut it
ἐξέκοψε	'down
καὶ	and
κατέκαυσε	burned
τὰ	the
βασίλεια.	palaces.
Ἐντεύθεν	Thence
ἐξελαυνει	he-proceeds
τρεῖς	three
σταθμούς	days'-march
πεντεκαίδεκα	(making) fifteen
παρασάγγας,	parasangs,
ἐπὶ	to
τὸν	the
ποταμόν	river
Εὐφράτην	Euphrates
ὄντα	(it) being
το	(there) the
εύρος	breadth
τεττάρων	of-four
σταδίων·	stadia;
καὶ	and (there
πόλις	was a) city
αὐτόθι	there
Θάψακος	Thapsacus
ὀνόματι	by-name
ᾠκεῖτο	(which) was-inhabited,
μεγάλη	(and which was) large
καὶ	and
εὐδαίμων.	wealthy.
Ἐνταῦθα	There
ἔμειναν	they-remained
πέντε	five
ἡμέρας·	days;
καὶ	and
Κῦρος	Cyrus
μεταπεμψάμενος	having-sent-fo
τοὺς	the
στρατηγοὺς	commanders
τῶν	of-the
Ἑλλήνων,	Greeks,
ἔλεγεν	said
ὅτι	that
ἡ	the
ὁδὸς	road
ἔσοιτο	might-hereafter-be
εἰς	to
Βαβυλῶνα	Babylon
πρὸς	against
μέγαν	(the) great
βασιλέα·	king;
καί	and
κελεύει	he-requests
αὐτοὺς	them
λέγειν	to-tell
ταῦτα	these (things
τοῖς	to-the
στρατιώταις,	soldiers,
καὶ	and
ἀναπείθειν	to-persuade (them)
ἕπεσθαι.	to-ollow (him).
Δ'	And
οἱ	wao
ποιήσαντες	| having-made [having called]
ἐκκλησίαν	(an) assembly (of the soldiers)
ἀπήγγελλον	communicated
ταῦτα.	these (things to them).
Δὲ	But
οἱ	the
στρατιῶται	soldiers
ἐχαλέπαινον	were-angry
τοῖς	with-the
στρατηγοῖς,	commanders,
καὶ	and
ἔφασαν	told
αὐτοὺς	them
πάλαι	(that) 'having already-before
εἰδόντας	'known
ταῦτα	these-things,
κρίτειν·	(that they) conceal (them from the soldiers);
καὶ	and
ἔφασαν	they-said
οὐκ	(that they would) not
ἰέναι,	go,
ἐὰν	unless
μή	some-one
τις	should-give
διδῷ	money
χρήματα	to-them
αὐτοῖς	| as
ὥσπερ	also
καὶ	(had been given)
τοῖς	to-the
προτέροις	former
ἀναβᾶσι	(soldiers) having-gone-up
μετὰ	with
Κύρου	Cyrus,
παρὰ	[in like manner as had been given to the soldiers, who had formerly accompanied Cyrus] to
τὸν	the
πατέρα	father
τοῦ	of-Cyrus,
Κύρου,	and
καὶ	this
ταῦτα	not
οὐκ	going
ἰόντων	to
ἐπὶ	battle,
μάχην,	but
ἀλλὰ	the
τοῦ	father
πατρὸς	(merely)
καλοῦντος	sending-for
Κῦρον.	Cyrus.
Οἱ	The
στρατηγοί	commanders
ἀπήγγελλον	reported
ταῦτα	these (things)
Κύρῳ·	to-Cyrus;
δ᾽	and
ὁ	who
ὑπέσχετο	promised
δώσειν	to-give
πέντε	five
μνᾶς	minse
ἀργυρίου	of-silver
ἑκάστῳ	to-each
ἀνδρὶ,	man,
ἐπὰν	when
ἥκωσι	they-arrived
εἰς	at
Βαβυλῶνα,	Babylon,
καὶ	and
τὸν	(their)
ἐντελῆ	entire
μισθὸν	pay
μέχρι	until
ἂν	'he should
καταστήσῃ	'place
τοὺς	the
Ἕλληνας	Greeks
πάλιν	back-again
εἰς	in
Ἰωνίαν.	Ionia.
Τὸ	The
πολὺ	most
μὲν	indeed
δὴ	of-the
τοῦ	Greek
Ἑλληνικοῦ	(force)
οὕτως	'was thus
ἐπείσθη.	'persuaded (to accompany him).
Δὲ	But
Μένων,	Menon,
πρὶν	before
εἶναι	| to-be [it is]
δῆλον	evident
τί	what
οἱ	the
ἄλλοι	other
στρατιῶται	oldiers
ποιήσουσι,	will-do,
πότερον	whether
ἕψονται	they-will-follow
Κύρω	Cyrus
ἢ	or
οὐ,	not,
συνέλλεξε	assembled
τὸ	| the
στράτευμα	army
αὑτοῦ	of-himself [his army]
χωρίς	apart
τῶν	from-the
ἄλλων,	others,
καὶ	and
ἔλεξε	spoke
τάδε.	| these (things) [thus].
῎Ανδρες	Men
ἐάν	if
πεισθῆτε	you-might-be-persuaded
μοι,	by-me,
προτιμήσεσθε	you-will-be-honoured
ὑπὸ	by
Κύρου	Cyrus
πλέον	more (than)
τῶν	the
ἄλλων	other
στρατιῶτων	soldiers
οὔτε	(and this) having neither
κινδυνείσαντες,	incurred-danger,
οὔτε	nor
πονήσαντες.	having-laboured.
Τί	What
οὖν	therefore
κελεύω	do-I-request (of you)
ποιῆσαι:	| to-have-done? [to do]?
Κῦρος	Cyrus
νῦν	now
δεῖται	wants
τοὺς	the
Ἕλληνας	Greeks
ἕπεσθαι	to-accompany (him)
ἐπὶ	against
βασιλέα·	(the) king;
ἐγὼ	I
οὖν	therefore
φημι	say
ὑμᾶς	| (that) you
χρῆναι	to-behove [that it behoves you]
διαβῆναι	to-have-crossed
τον	the
ποταμόν	river
Εὐφράτην,	Euphrates,
πρὶν	before
εἶναι	| to-be [it is]
δῆλον	manifest
ὅ	what
τι	the
οἱ	other
ἄλλοι	Greeks
Ἕλληνες	will-answer
ἀποκρινοῦνται	Cyrus.
Κύρῳ.	For
Γὰρ	if
ἂν	indeed
μὲν	they-should-determine-by-ballot
ψηφίσωνται	to-follow,
ἕπεσθαι,	(then)
ὑμεῖς	you
δόξετε	will-appear
εἶναι	to be
αἴτιοι,	(the) cause,
ἄρξαντες	| having-begun
τοῦ	of-the
διαβαῖνειν,	crossing-over, [as having first crossed over the river],
καὶ	and
ὑμῖν	to-you
ὡς	as
οὖσι	being
προθυμοτάτοις	most-prompt,
Κῦρος	Cyrus
εἴσεται	perceive (and acknowledge
χάριν,	the) favour,
καὶ	and
ἀποδώσει·	will-repay (it);
δ᾽	| but
ἐπίσταται	he-knows (how to do this)
εἰ	if
καὶ	even-also
τις	any
ἄλλος·	other (does); (but he knows how to reward a favour, as well as any other man];
δ᾽	but
ἦν	if
οἱ	the
ἄλλοι	others
ἀποψηφίσωνται,	should-ballot-against-it,
ἅπαντες	(we) all-together
μὲν	indeed
ἄπιμεν	| depart
εἰς	to
τοῦμπαλιν·	the-contrary; [return back again];
δὲ	but
ὑμῖν,	you,
ὡς	as
μόνοις	alone
πειθομένοις	being-persuaded
πιστοτάτοις	(and as being) most-faithful
χρήσεται	he-will-use (and employ)
καὶ	loth
εἰς	in
φρούρια	garrisons
καὶ	and
εἰς	for
λοχαγίας,	captaincies,
καὶ	and-also
οἶδα	I-know
ὅτι	that
ὡς	as
φίλοι	friends
Κύρου	of-Cyrus
τεύξεσθε	you-will-obtain
ούτινος	whatever
ἄλλου	else
ἂν	'you may
δέησθε.	'require.
᾿Ακουσαντες	(The soldiers) having-heard
ταῦτα,	these (things),
ἐπείθοντο,	were-persuaded,
καὶ	and
διέβησαν	crossed-over
πρὶν	before (that)
τοὺς	the
ἄλλους	others
ἀποκρίνασθαι.	answered.
Δὲ	But
ἐπεὶ	when
Κύρος	Cyrus
ᾔσθετο	perceived (them)
διαβεβηκότας,	having-crossed-over (the river),
ἥσθη,	'he not-only was-pleased,
τε	but-also
καὶ	having-sent
πέμψας	Glus
Γλοῦν	to-the
τῷ	army
στρατεύματι	of Menon)
εἶπεν,	said,
Ἐγὼ	| I
μὲν	indeed
ὦ	O
ἄνδρες,	men,
ἤδη	now
ἐπαινῶ	praise
ὑμᾶς·	you;
δὲ	| but
μελήσει	it-shall-be-a-care
ἐμοὶ	to-me
ὅπως	how
καὶ	also
ὑμεῖς	you
ἐπαινέσητε	might-praise
ἐμὲ,	me, [but I will take care, that you also shall praise me],
ἢ	or
μηκέτι	no-longer
νομίξετε	think
με	me
Κύρον.	Cyrus.
Οἱ	The
στρατιῶται	soldiers
ὄντες	being
δὴ	now
μὲν	indeed
ἐν	in
μεγάλαις	great
ἐλπίσι	hopes
εὔχοντο	| wished
αὐτὸν	him
εὐτυχῆσαι·	to-have-been-fortunate; [prayed for his success];
δὲ	and
καὶ	also
ἐλέγετο	he-was-said
πέμψαι	te-have-sent
μεγαλοπρεπῶς	in-a-magnificent-manner
δῶρα	presents
Μένωνι.	to-Menon.
Δὲ,	And,
ποιήσας	saving-done
ταῦτα,	these (things),
διέβαινε·	he-crossed-over (the river);
δὲ	and
καὶ	also
ἅπαν	all
τὸ	the
ἄλλο	other
στράτευμα	army
συνείπετο	followed
αὐτῷ.	him.
Καὶ	And
οὐδεὶς	no-one
τῶν	(of those)
διαβαινόντων	crossing
τὸν	the
ποταμὸν	river
ἐβρέχθη	was-wetted
ἀνωτέρω	higher (than)
τῶν	the
μαστῶν	breasts
ὑπὸ	by
τοῦ	the
ποταμοῦ.	river.
Δὲ	But
οἱ	the
Θαψακηνοὶ	Thapsaceni
ἔλεγον,	said,
ὅτι	that
οὗτος	this
ὁ	(the)
ποταμὸς	river
οὐ	never
πώποτε	at-any-time
γένοιτο	might-be
διαβατος	passable
πεζῇ	on-foot
εἰ	if
μὴ	not
τότε,	[except then,
ἀλλὰ	but (always)
πλοίοις·	in-boats;
ὁ	which
᾿Αβροκόμας	Abrocomas
προϊων	going-before
τότε	'had then
κατέκαυσεν,	'burnt,
ἵνα	that
Κῦρος	Cyrus
μὴ	might not
διαβῇ.	'cross-over (the river).
Δὴ	(This) then
ἐδόκει	seemed
εἶναι	to-be (a)
θεῖον,	divine (interposition),
καὶ	and
τὸν	(that) the
ποταμὸν	river
σαφῶς	manifestly
ὑποχωρῆσαι	receded
Κύρῳ	for-Cyrus
ὡς	as
βασιλεύσοντι.	about-reigning.
Ἐντεῦθεν	Hence
ἐξελαύνει	ne-advances
διὰ	through
τῆς	Syria
Συρίας	nine
ἐννέα	days'-march,
σταθμούς,	(making)
πεντήκοντα	fifty
παρασάγγας,	parasangs,
καὶ	and
ἀφικνοῦνται	they-came
πρὸς	to
τὸν	the
ποταμόν	river
᾿Αράξην.	Araxes.
Ἐνταῦθα	Here
ἦσαν	there-were
πολλαὶ	many
κῶμαι	villages
μεσταὶ	full
σίτου	of-corn
καὶ	and
οἶνου.	wine.
Ἐνταῦθα	Here
ἔμειναν	they-remained
τρεῖς	three
ἡμέρας,	days,
καὶ	and
ἐπεσιτίσαντο.	provisioned (the army).
Ἐντεῦθεν	THENCE
ἐξελαύνει	he-marches
διὰ	through
τῆς	Arabia,
᾿Αραβίας,	having
ἔχων	the
τὸν	river
ποταμόν	Euphrates
Εὐφράτην	on
ἐν	(the)
δεξιᾷ,	right,
πέντε	(making) five
ἐρήμους	desert
σταθμούς,	stations, [five days' march through the desert],
τριάκοντα	(and; thirty
καὶ	and
πέντε	five
παρασάγγας.	parasangs.
Δὲ	But
ἐν	in
τούτῳ	this
τῳ	-
τόπῳ	district-of-country
ἡ	the
γῆ	ground
ἦν	was
μὲν	indeed
πεδίον,	(a) plain,
ἅπαν	entirely
ἡμαλὸν	level
ὥσπερ	as
θάλαττα,	(the) sea,
δὲ	and
πλῆρες	full
ἀψινθίου,	of-wormwood,
εἰ	if
δὲ	indeed
καὶ	also
τι	any
ἄλλο	other (kind)
ὕλης	of-underwood
ἢ	or
καλάμου	of-reed
ἐνῆν,	was-on-it,
ἅπαντα	all
ἦσαν	were
εὐώδη	(as) odoriferous
ὥσπερ	as
ἀρώματα·	perfumes;
δ'	but
οὐδει	no
δένδρον	tree
ἐνῆν.	was-thereon.
Δὲ	But
θηρία,	(here there were)
